split,model,layer,duration,duration_val,test_split,metric,score
dev,SpidR VP-20,7,10min,10,dev,r_val,54.16
dev,SpidR VP-20,7,1h,60,dev,f1,65.29
dev,SpidR VP-20,7,1h,60,dev,per,63.37
dev,SpidR VP-20,7,1h,60,dev,pnmi,62.82
dev,SpidR VP-20,7,1h,60,dev,r_val,54.11
dev,SpidR VP-20,6,0,1,test,f1,63.54
dev,SpidR VP-20,6,0,1,test,per,65.19
dev,SpidR VP-20,6,0,1,test,pnmi,56.86
dev,SpidR VP-20,6,0,1,test,r_val,56.32
dev,SpidR VP-20,6,0,1,dev,f1,61.13
dev,SpidR VP-20,6,0,1,dev,per,63.77
dev,SpidR VP-20,6,0,1,dev,pnmi,56.08
dev,SpidR VP-20,6,0,1,dev,r_val,57.45
test,HuBERT MMS-ulab,12,10h,600,test,f1,59.68
test,HuBERT MMS-ulab,12,10h,600,test,per,113.55
test,HuBERT MMS-ulab,12,10h,600,test,pnmi,54.43
test,HuBERT MMS-ulab,12,10h,600,test,r_val,15.01
test,HuBERT MMS-ulab,11,10min,10,test,f1,57.72
test,HuBERT MMS-ulab,11,10min,10,test,per,125.93
test,HuBERT MMS-ulab,11,10min,10,test,pnmi,54.51
test,HuBERT MMS-ulab,11,10min,10,test,r_val,2.95
test,HuBERT MMS-ulab,11,1h,60,test,f1,58.84
test,HuBERT MMS-ulab,11,1h,60,test,per,115.05
test,HuBERT MMS-ulab,11,1h,60,test,pnmi,55.81
test,HuBERT MMS-ulab,11,1h,60,test,r_val,10.68
test,HuBERT MMS-ulab,12,10h,600,dev,f1,58.59
test,HuBERT MMS-ulab,12,10h,600,dev,per,111.9
test,HuBERT MMS-ulab,12,10h,600,dev,pnmi,51.19
test,HuBERT MMS-ulab,12,10h,600,dev,r_val,18.99
test,HuBERT MMS-ulab,11,10min,10,dev,f1,57.97
test,HuBERT MMS-ulab,11,10min,10,dev,per,122.89
test,HuBERT MMS-ulab,11,10min,10,dev,pnmi,51.53
test,HuBERT MMS-ulab,11,10min,10,dev,r_val,9.82
test,HuBERT MMS-ulab,11,1h,60,dev,f1,58.97
test,HuBERT MMS-ulab,11,1h,60,dev,per,114.96
test,HuBERT MMS-ulab,11,1h,60,dev,pnmi,52.65
test,HuBERT MMS-ulab,11,1h,60,dev,r_val,15.29
test,HuBERT MMS-ulab,12,0,1,test,f1,57.79
test,HuBERT MMS-ulab,12,0,1,test,per,126.46
test,HuBERT MMS-ulab,12,0,1,test,pnmi,51.05
test,HuBERT MMS-ulab,12,0,1,test,r_val,6.99
test,HuBERT MMS-ulab,12,0,1,dev,f1,58.67
test,HuBERT MMS-ulab,12,0,1,dev,per,117.25
test,HuBERT MMS-ulab,12,0,1,dev,pnmi,48.32
test,HuBERT MMS-ulab,12,0,1,dev,r_val,17.7
test,HuBERT VP-20,11,10h,600,test,f1,61.16
test,HuBERT VP-20,11,10h,600,test,per,98.02
test,HuBERT VP-20,11,10h,600,test,pnmi,57.56
test,HuBERT VP-20,11,10h,600,test,r_val,24.37
test,HuBERT VP-20,11,10min,10,test,f1,58.98
test,HuBERT VP-20,11,10min,10,test,per,114.12
test,HuBERT VP-20,11,10min,10,test,pnmi,52.74
test,HuBERT VP-20,11,10min,10,test,r_val,13.82
test,HuBERT VP-20,11,1h,60,test,f1,60.65
test,HuBERT VP-20,11,1h,60,test,per,101.03
test,HuBERT VP-20,11,1h,60,test,pnmi,55.72
test,HuBERT VP-20,11,1h,60,test,r_val,22.81
test,HuBERT VP-20,11,10h,600,dev,f1,61.45
test,HuBERT VP-20,11,10h,600,dev,per,95.9
test,HuBERT VP-20,11,10h,600,dev,pnmi,54.66
test,HuBERT VP-20,11,10h,600,dev,r_val,30.48
test,HuBERT VP-20,11,10min,10,dev,f1,59.88
test,HuBERT VP-20,11,10min,10,dev,per,105.34
test,HuBERT VP-20,11,10min,10,dev,pnmi,51.04
test,HuBERT VP-20,11,10min,10,dev,r_val,24.23
test,HuBERT VP-20,11,1h,60,dev,f1,60.41
test,HuBERT VP-20,11,1h,60,dev,per,100.19
test,HuBERT VP-20,11,1h,60,dev,pnmi,52.18
test,HuBERT VP-20,11,1h,60,dev,r_val,28.52
test,HuBERT VP-20,11,0,1,test,f1,58.18
test,HuBERT VP-20,11,0,1,test,per,127.02
test,HuBERT VP-20,11,0,1,test,pnmi,49.49
test,HuBERT VP-20,11,0,1,test,r_val,9.39
test,HuBERT VP-20,11,0,1,dev,f1,58.87
test,HuBERT VP-20,11,0,1,dev,per,118.26
test,HuBERT VP-20,11,0,1,dev,pnmi,47.01
test,HuBERT VP-20,11,0,1,dev,r_val,19.63
test,SpidR MMS-ulab,5,10h,600,test,f1,68.9
test,SpidR MMS-ulab,5,10h,600,test,per,65.44
test,SpidR MMS-ulab,5,10h,600,test,pnmi,64.61
test,SpidR MMS-ulab,5,10h,600,test,r_val,51.57
test,SpidR MMS-ulab,6,10min,10,test,f1,65.68
test,SpidR MMS-ulab,6,10min,10,test,per,79.85
test,SpidR MMS-ulab,6,10min,10,test,pnmi,58.58
test,SpidR MMS-ulab,6,10min,10,test,r_val,43.98
test,SpidR MMS-ulab,5,1h,60,test,f1,68.97
test,SpidR MMS-ulab,5,1h,60,test,per,66.53
test,SpidR MMS-ulab,5,1h,60,test,pnmi,63.98
test,SpidR MMS-ulab,5,1h,60,test,r_val,51.69
test,SpidR MMS-ulab,5,10h,600,dev,f1,67.99
test,SpidR MMS-ulab,5,10h,600,dev,per,65.92
test,SpidR MMS-ulab,5,10h,600,dev,pnmi,61.9
test,SpidR MMS-ulab,5,10h,600,dev,r_val,54.38
test,SpidR MMS-ulab,6,10min,10,dev,f1,64.43
test,SpidR MMS-ulab,6,10min,10,dev,per,80.74
